learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
2300.0,1.133117703,9.163455709832596E-7,1000.0,44.20938009198551,64.33248633617717,2300.0,2639064.0,6.0
2400.0,1.176520047,9.456740342209426E-7,1000.0,43.54851255120976,64.00111988078845,2400.0,2612032.0,7.0
2500.0,1.222150762,9.761691593441284E-7,1000.0,47.2379887054966,68.19850291432873,2500.0,2583304.0,8.0
2600.0,1.265303074,1.005325630840452E-6,1000.0,52.0198523246846,70.92032029288335,2600.0,2611760.0,8.0
2700.0,1.307907349,1.034420687068326E-6,1000.0,56.34986062496506,75.19968594345745,2700.0,2639784.0,8.0
2800.0,1.353195268,1.0656643989255258E-6,1000.0,48.92281178014333,67.15612597097537,2800.0,2666752.0,8.0
2900.0,1.396228628,1.0950363630728817E-6,1000.0,45.41397626637792,64.90447672845738,2900.0,2638336.0,9.0
3000.0,1.439282912,1.1247470414089309E-6,1000.0,42.28484378288282,61.71465507008524,3000.0,2667464.0,9.0
3100.0,1.48446144,1.1562587173292185E-6,1000.0,49.276904015922156,71.72838636452242,3100.0,2696136.0,9.0
3200.0,1.527867495,1.1862169051546375E-6,1000.0,51.950042394907776,72.70412185709672,3200.0,2667888.0,10.0
3300.0,1.571722451,1.2168164728024208E-6,1000.0,57.11682530919197,77.56185261624987,3300.0,2697112.0,10.0
3400.0,1.618865729,1.250038473646117E-6,1000.0,53.70883431451914,73.79217711089338,3400.0,2724008.0,10.0
3500.0,1.663289972,1.2810348905770643E-6,1000.0,46.755813335451826,66.27751876115478,3500.0,2697080.0,11.0
3600.0,1.707857991,1.3124472644877907E-6,1000.0,43.260373566725754,63.66332885921505,3600.0,2724456.0,11.0
3700.0,1.753743198,1.345125805121571E-6,1000.0,47.86738556831223,73.29399570691012,3700.0,2752912.0,11.0
3800.0,1.798148435,1.3770882614718209E-6,1000.0,52.705447057696894,76.56903680001071,3800.0,2782328.0,11.0
3900.0,1.842941562,1.4096605001226954E-6,1000.0,59.92263951484964,82.02218475038774,3900.0,2810856.0,11.0
4000.0,1.889704003,1.4433181004368964E-6,1000.0,60.604532626851935,82.38063515718832,4000.0,2782200.0,12.0
4100.0,1.93396027,1.4748632872504075E-6,1000.0,49.20856646605704,70.01446487202594,4100.0,2755248.0,13.0
4200.0,1.983092948,1.5095325755107854E-6,1000.0,47.74407262450284,69.41420251197381,4200.0,2727576.0,14.0
4300.0,2.03160535,1.544124622529662E-6,1000.0,47.91707694950976,72.30996845567925,4300.0,2756296.0,14.0
4400.0,2.076363736,1.5763671164716692E-6,1000.0,55.73373905283342,81.66669170913245,4400.0,2784560.0,14.0
4500.0,2.122053933,1.6089444099803843E-6,1000.0,61.86135383865937,85.72730317744842,4500.0,2783000.0,15.0
4600.0,2.172053229,1.6449575259872354E-6,1000.0,65.71519676970225,88.21497328180402,4600.0,2784192.0,15.0
4700.0,2.219346245,1.679367479278784E-6,1000.0,55.0798496182367,75.7578990898221,4700.0,2812480.0,15.0
4800.0,2.263384909,1.7117316037435906E-6,1000.0,50.982029466058876,72.6422501306643,4800.0,2840744.0,15.0
4900.0,2.310275638,1.7465252626879962E-6,1000.0,47.01973783668953,70.037854149143,4900.0,2868240.0,15.0
5000.0,2.355383502,1.7803305938297794E-6,1000.0,58.05527456166592,85.58188771688353,5000.0,2896912.0,15.0
5100.0,2.4009143,1.8147852377869265E-6,1000.0,62.14057177598049,87.58597815984812,5100.0,2925128.0,15.0
5200.0,2.448650262,1.8512671271402465E-6,1000.0,68.33365211407599,92.12254281261093,5200.0,2954160.0,15.0
5300.0,2.494025543,1.8862786342216192E-6,1000.0,62.16676883811261,85.35240194749788,5300.0,2982592.0,15.0
5400.0,2.540021008,1.921434834442231E-6,1000.0,53.97226693584178,76.20094102745054,5400.0,2954536.0,16.0
5500.0,2.586807154,1.9568717821322436E-6,1000.0,48.44342437280239,71.78112617954197,5500.0,2927800.0,17.0
5600.0,2.632572034,1.9918655653086858E-6,1000.0,59.196708735205796,88.3734173862546,5600.0,2955704.0,17.0
5700.0,2.67883188,2.0268991895293168E-6,1000.0,62.579678215866124,90.1797541609112,5700.0,2927408.0,18.0
5800.0,2.72582248,2.062839449544745E-6,1000.0,70.68675750642126,95.73375928140594,5800.0,2956464.0,18.0
5900.0,2.773026921,2.0992860738571852E-6,1000.0,69.48991700542346,93.94210914381473,5900.0,2984536.0,18.0
6000.0,2.819306818,2.135362710561344E-6,1000.0,56.01093198195274,78.84617022468011,6000.0,3013256.0,18.0
6100.0,2.867184514,2.173026636240074E-6,1000.0,52.53238240366503,76.77902984616954,6100.0,3040848.0,18.0
6200.0,2.914155529,2.210317252132826E-6,1000.0,56.41140241455045,84.98776423016699,6200.0,3068824.0,18.0
6300.0,2.960871334,2.247756408765231E-6,1000.0,64.42713765193112,93.98885764769163,6300.0,3097880.0,18.0
6400.0,3.009399254,2.2862935074797746E-6,1000.0,71.9206281268789,99.23244713897462,6400.0,3069656.0,19.0
6500.0,3.057666827,2.3242858147049736E-6,1000.0,74.70502743256112,100.57509296146215,6500.0,3042584.0,20.0
6600.0,3.104038723,2.3611236270784628E-6,1000.0,59.80157802617597,83.7604654703035,6600.0,3070728.0,20.0
6700.0,3.152048159,2.3996082740789363E-6,1000.0,56.129509621020844,81.78065267658442,6700.0,3098584.0,20.0
6800.0,3.198921228,2.4375221153451234E-6,1000.0,53.986024782049185,82.49955941688032,6800.0,3126632.0,20.0
