primer,vhod1,vhod2,izhod
71,0.18789176348764777,0.3347003328877962,0.39523555085845075
72,0.18350332576130515,0.3705375903049927,1.6868207087523517
73,0.17911481539864282,0.4049216521905949,3.03400845932947
74,0.17472636005123635,0.4377685533222289,4.433724646127637
75,0.17033808726463073,0.4689999883873708,5.882738884696271
76,0.1659501244742365,0.49854352995352696,7.377676318026034
77,0.16156259900122974,0.5263328251820945,8.915029765393912
78,0.1571756380484592,0.5523077706802412,10.491172220899772
79,0.15278936869635873,0.576414664963832,12.102369656916512
80,0.1484039178988669,0.5986063380848341,13.74479408678278
81,0.144019412479351,0.618842258058496,15.414536840337826
82,0.13963597912653825,0.6370886138085948,17.10762200533463
83,0.13525374439045368,0.6533183744329085,18.820019987371808
84,0.13087283467836489,0.6675113246754766,20.547661140757857
85,0.12649337625073248,0.6796540765768689,22.286449422663793
86,0.1221154952171677,0.6897400573582875,24.032276023031873
87,0.11773931753239757,0.6977694736795674,25.7810329229882
88,0.11336496899223747,0.7037492524947336,27.528626334954378
89,0.10899257522956987,0.7076929588113983,29.270989978265884
90,0.10462226171033075,0.7096206907416581,31.004098144880196
91,0.1002541537295042,0.7095589523119973,32.7239785106927
92,0.09588837640712496,0.7075405045776985,34.42672464906947
93,0.09152505468428755,0.7036041956631811,36.1085082044487
94,0.08716431331916387,0.6977947704232146,37.76559068525262
95,0.08280627688302925,0.6901626604908523,39.39433483688341
96,0.07845106975629715,0.6807637555459511,40.9912155572442
97,0.07409881612456101,0.6696591567030189,42.552830319023926
98,0.06974963997464494,0.6569149129786702,44.075909064905204
99,0.06540366509066359,0.6426017418569336,45.55732354389106
100,0.061061015050091094,0.6267947350248253,46.99409605909098
101,0.05672181321983772,0.6095730504008325,48.38340759955216
102,0.05238618275233588,0.5910195916250147,49.72260533105919
103,0.04805424658163595,0.5712206762212124,51.009209423246524
104,0.04372612741951147,0.5502656936791733,52.2409191928634
105,0.039401947751572866,0.5282467547371428,53.41561854559241
106,0.03508182983339086,0.5052583331735507,54.53138070143968
107,0.030765895686630275,0.48139690143967534,55.586472191378924
108,0.02645426709519373,0.45676056148359356,56.5793561156317
109,0.02214706560137442,0.43144867212921845,57.50869465669425
110,0.017844412502019066,0.4055614743827384,58.37335084296579
111,0.013546428844701811,0.3791997160423336,59.172389561584566
112,0.00925323542390847,0.35246427698557264,59.90507782182743
113,0.004964952777230458,0.32545579650244155,60.57088427316401
114,0.0006817011815693511,0.29827430403059635,61.16947798476991
115,-0.0035963993506470727,0.2710188546330903,61.700726495984156
116,-0.00786922907523795,0.24378717053770763,62.16469314983386
117,-0.012136668520032208,0.21667529003112762,62.56163372433601
118,-0.016398598488620367,0.1897772249705683,62.89199237881129
119,-0.020654900064094282,0.16318462814048015,63.156396934899966
120,-0.02490545461277561,0.1369864716423238,63.35565351434629
121,-0.029150143787933486,0.11126873746169164,63.49074055790587
122,-0.03338884953349059,0.08611412130917999,63.56280225192376
123,-0.03762145408771678,0.061601750779604725,63.57314139121982
124,-0.041847839986910794,0.03780691881864995,63.52321170889639
125,-0.04606789006907076,0.014800833427003791,63.414609705543185
126,-0.05028148747755261,-0.007349615530310902,63.2490660120499
127,-0.054488515664715444,-0.028582071607091863,63.028436321841575
128,-0.058688858395554704,-0.048838908417528845,62.75469192981985
129,-0.06288239975132338,-0.06806740697292901,62.42990991662002
130,-0.06706902413314088,-0.0862199131234522,62.0562630179737
131,-0.07124861626558818,-0.10325397458989798,61.63600921999714
132,-0.07542106120029043,-0.11913245714752305,61.17148112210123
133,-0.0795862443194871,-0.13382363960230279,60.665075109938165
134,-0.0837440513395891,-0.1473012872796847,60.11924038136003
135,-0.08789436831472211,-0.15954470382642022,59.536467868763026
136,-0.09203708164025647,-0.17053876120722092,58.91927910142781
